Fragment Size,Count,Range,Group,BAM File
1314438,4,>1000,Plasma,C2-57-plasma.bam
493,4,200-500,Plasma,C2-57-plasma.bam
2040,4,>1000,Plasma,C2-57-plasma.bam
500,4,200-500,Plasma,C2-57-plasma.bam
278,4,200-500,Plasma,C2-57-plasma.bam
276,4,200-500,Plasma,C2-57-plasma.bam
2306625,4,>1000,Plasma,C2-57-plasma.bam
488,4,200-500,Plasma,C2-57-plasma.bam
2306656,4,>1000,Plasma,C2-57-plasma.bam
2306624,4,>1000,Plasma,C2-57-plasma.bam
3213081,4,>1000,Plasma,C2-57-plasma.bam
2306638,4,>1000,Plasma,C2-57-plasma.bam
2306464,4,>1000,Plasma,C2-57-plasma.bam
57020,4,>1000,Plasma,C2-57-plasma.bam
43071,4,>1000,Plasma,C2-57-plasma.bam
45144570,4,>1000,Plasma,C2-57-plasma.bam
288,4,200-500,Plasma,C2-57-plasma.bam
22,4,100-200,Plasma,C2-57-plasma.bam
21493,4,>1000,Plasma,C2-57-plasma.bam
271,4,200-500,Plasma,C2-57-plasma.bam
7789,4,>1000,Plasma,C2-57-plasma.bam
7742,4,>1000,Plasma,C2-57-plasma.bam
252,4,200-500,Plasma,C2-57-plasma.bam
338,4,200-500,Plasma,C2-57-plasma.bam
294,4,200-500,Plasma,C2-57-plasma.bam
505,4,500-1000,Plasma,C2-57-plasma.bam
2788,4,>1000,Plasma,C2-57-plasma.bam
328,4,200-500,Plasma,C2-57-plasma.bam
342,4,200-500,Plasma,C2-57-plasma.bam
11800872,4,>1000,Plasma,C2-57-plasma.bam
323,3,200-500,Plasma,C2-57-plasma.bam
9151,3,>1000,Plasma,C2-57-plasma.bam
255,3,200-500,Plasma,C2-57-plasma.bam
1077,3,>1000,Plasma,C2-57-plasma.bam
11800874,3,>1000,Plasma,C2-57-plasma.bam
4793,3,>1000,Plasma,C2-57-plasma.bam
11492073,3,>1000,Plasma,C2-57-plasma.bam
3074607,3,>1000,Plasma,C2-57-plasma.bam
183952,3,>1000,Plasma,C2-57-plasma.bam
1147,3,>1000,Plasma,C2-57-plasma.bam
6274,3,>1000,Plasma,C2-57-plasma.bam
11492060,3,>1000,Plasma,C2-57-plasma.bam
333,3,200-500,Plasma,C2-57-plasma.bam
2405,3,>1000,Plasma,C2-57-plasma.bam
395,3,200-500,Plasma,C2-57-plasma.bam
11805584,3,>1000,Plasma,C2-57-plasma.bam
11800919,3,>1000,Plasma,C2-57-plasma.bam
3399384,3,>1000,Plasma,C2-57-plasma.bam
528,3,500-1000,Plasma,C2-57-plasma.bam
475,3,200-500,Plasma,C2-57-plasma.bam
14496,3,>1000,Plasma,C2-57-plasma.bam
11800937,3,>1000,Plasma,C2-57-plasma.bam
297,3,200-500,Plasma,C2-57-plasma.bam
1206418,3,>1000,Plasma,C2-57-plasma.bam
280,3,200-500,Plasma,C2-57-plasma.bam
45533910,3,>1000,Plasma,C2-57-plasma.bam
417,3,200-500,Plasma,C2-57-plasma.bam
11808587,3,>1000,Plasma,C2-57-plasma.bam
11800858,3,>1000,Plasma,C2-57-plasma.bam
11800865,3,>1000,Plasma,C2-57-plasma.bam
147036829,3,>1000,Plasma,C2-57-plasma.bam
147036972,3,>1000,Plasma,C2-57-plasma.bam
1853,3,>1000,Plasma,C2-57-plasma.bam
11800867,3,>1000,Plasma,C2-57-plasma.bam
786,3,500-1000,Plasma,C2-57-plasma.bam
2184,3,>1000,Plasma,C2-57-plasma.bam
11800855,3,>1000,Plasma,C2-57-plasma.bam
635,3,500-1000,Plasma,C2-57-plasma.bam
11800931,3,>1000,Plasma,C2-57-plasma.bam
